name,surname,date_of_birth,date_of_hiring,firing_date,pesel
Nela,Stochmal,1978-09-24,2023-01-21,,58965933556
Anna Maria,Żółtek,2001-11-04,2023-10-04,,22888566966
Oskar,Łusiak,1969-03-31,2021-01-01,,82102874947
Norbert,Baum,1973-09-04,2021-10-20,,32285037564
Michał,Frącz,1976-07-18,2020-07-14,,76900742557
Ryszard,Witka,1996-09-09,2023-01-11,,63503362585
Łukasz,Sypuła,2002-03-29,2023-09-07,,33323685052
Natan,Szyba,1971-06-18,2022-10-26,,71541866751
Gabriel,Stanisławczyk,1981-07-31,2021-04-18,,86414956206
Tomasz,Pompa,1968-05-22,2020-10-27,,38958766917
Rozalia,Serwa,1987-12-14,2022-01-07,,93998946126
Nela,Małysiak,1972-07-06,2020-10-01,,27475357527
Elżbieta,Borczyk,1974-09-30,2021-10-30,,61333026503
Tobiasz,Siemion,1998-04-02,2023-04-05,,41097218123
Jędrzej,Olchawa,1973-08-09,2021-09-14,,36592839419
Stefan,Wożniak,1976-11-02,2021-03-29,,15135338150
Marcin,Frycz,1983-10-15,2020-08-07,,30917896279
Karina,Windak,1983-01-23,2023-07-06,,51115184493
Kazimierz,Białczyk,1995-01-13,2020-02-19,,22403609728
Tobiasz,Wojcik,2002-03-02,2022-05-23,2024-07-20,30300984506
Grzegorz,Kasper,1980-12-12,2020-12-05,,82671453703
Kazimierz,Posłuszny,1985-08-26,2021-08-07,,11522941133
Andrzej,Warczak,1988-09-05,2020-11-14,,78035350223
Kazimierz,Szwaja,1968-05-20,2020-12-22,,50020801953
Piotr,Grygorcewicz,1989-06-11,2022-09-28,,57952725175
Hubert,Czochara,1975-09-27,2021-04-12,,74060730945
Artur,Stempin,1984-12-27,2023-05-24,,27813701881
Ksawery,Barej,1995-05-25,2021-05-13,,86952489576
Paweł,Mazik,1996-10-27,2022-05-31,,29898942526
Maurycy,Gumieniak,1989-01-01,2023-05-10,,32556480879
Błażej,Mieloch,1973-12-21,2021-03-17,,24623987396
Marika,Cetera,1975-01-28,2023-06-06,,65400153937
Julianna,Miąsko,1999-09-13,2023-05-28,,27308624060
Krystian,Naczk,1982-04-22,2022-10-03,,30324232834
Konrad,Reiter,1968-03-17,2021-05-25,,87490699230
Emil,Pawliczak,1973-06-13,2023-06-09,,38985904268
Malwina,Sulich,1971-01-10,2021-05-31,,84806322887
Natasza,Szkatuła,1967-11-19,2022-07-11,,51297037242
Karina,Czermak,1996-09-28,2022-06-02,,72047481469
Ignacy,Chodak,2000-01-15,2020-06-05,,21260893495
Gustaw,Tytko,2002-06-05,2020-01-17,,96095863597
Marcel,Frydrychowicz,1993-07-30,2023-06-23,2023-12-22,15735650590
Daniel,Cąkała,1980-04-19,2023-01-01,,82476479388
Ryszard,Faltyn,1986-11-10,2021-05-22,,27291655143
Julianna,Dybaś,1973-08-07,2021-10-28,2021-11-03,79837248399
Angelika,Drozda,1990-10-23,2020-04-07,,69843574755
Tomasz,Jagiełka,1991-01-04,2021-07-28,,98241150052
Mateusz,Draus,1967-12-15,2021-08-01,,19222873222
Bartek,Bubel,1997-09-03,2023-09-21,,94226175395
Kornelia,Smoczyk,1973-11-02,2020-09-06,2021-08-24,34080348931
Sonia,Powała,2002-06-24,2021-05-03,,47164690153
Kornel,Kopyt,1985-09-01,2021-09-02,,31794774734
Marek,Jewuła,2002-12-03,2020-03-05,2023-08-22,68749874353
Leon,Myga,1984-02-22,2021-01-26,,66445496442
Liwia,Łapacz,1996-09-26,2021-08-26,,39652570664
Karol,Mojsa,1987-02-23,2023-12-28,,87030426639
Jacek,Maciejko,1966-03-25,2021-07-30,,41174607707
Gaja,Bondaruk,1984-06-01,2021-06-07,2022-05-17,67600000257
Radosław,Makurat,1986-10-22,2021-10-06,,57828145721
Inga,Lenda,1981-01-07,2020-12-03,,87663636782
Marcin,Franiak,1975-03-18,2023-11-03,,92770058722
Ewa,Krüger,1980-07-03,2020-12-16,,70929176164
Maciej,Marcińczyk,1965-12-04,2022-11-18,,23989707755
Kajetan,Gzyl,1976-11-26,2021-07-11,2023-08-12,83196342940
Bartek,Kempka,1971-02-10,2020-06-22,,96364122488
Ryszard,Szyja,1974-03-01,2021-09-22,,92151448815
Apolonia,Martyka,1997-12-09,2023-09-20,2023-11-16,12976662275
Anna Maria,Kasper,1996-11-15,2020-11-25,,90973527145
Ernest,Drabczyk,1988-01-09,2020-02-07,,37201991026
Filip,Niewiara,1997-06-24,2022-11-26,,21657084648
Sylwia,Koral,1996-12-11,2020-05-30,,89955876013
Gaja,Rohde,1999-07-02,2022-03-22,,70240957984
Sandra,Wesoły,1992-02-20,2021-09-14,,81977196122
Dariusz,Gryka,1989-08-28,2022-03-11,,38979884126
Maurycy,Kuba,1971-08-06,2022-03-23,,52665570101
Inga,Worach,1990-05-10,2023-03-29,,76691945265
Tola,Kwinta,1975-02-06,2023-12-17,,80535598985
Bartek,Gęca,1978-11-08,2020-06-16,,49689965139
Dagmara,Ośko,1980-06-25,2023-07-03,,74829283805
Jerzy,Pielech,2001-07-24,2020-09-11,,74517817360
Lidia,Dymarczyk,1990-07-18,2021-10-20,,94154667380
Julian,Podgórna,1983-10-13,2020-07-21,,63824563738
Kaja,Kunka,1984-04-12,2023-04-10,2023-08-08,80947541316
Marcel,Męcik,1971-09-04,2023-02-20,,31015284866
Ewelina,Puch,1987-06-20,2021-01-17,,48942216379
Józef,Zacharek,1984-06-27,2023-08-19,,33401552885
Angelika,Frankowicz,1974-06-12,2022-09-12,,52797455019
Kajetan,Gozdur,1978-09-12,2022-03-12,,19005910679
Robert,Nowotka,1988-07-28,2020-01-10,,84050009645
Nikodem,Nazarko,1971-03-24,2022-01-21,,54665940734
Olga,Drwięga,1977-03-27,2020-01-29,,36178261771
Nataniel,Mieloch,1966-04-19,2023-11-08,,39647545423
Ewa,Matyszczak,1981-12-04,2022-10-23,,66851623002
Szymon,Tomalik,2000-07-30,2020-11-15,,49962277806
Mikołaj,Walenciak,1989-02-20,2022-04-10,,95241657079
Gustaw,Skalik,1993-12-03,2021-11-28,,44766115985
Marcel,Gaś,1967-10-19,2020-07-21,,25183237852
Róża,Jenek,1984-10-21,2020-07-03,,93554447053
Julita,Działak,1995-06-15,2023-11-23,,96696872823
Anna Maria,Sulik,1967-10-05,2023-10-11,,27458013527
Kacper,Chaberek,1972-07-09,2020-05-24,,67625864745
Antoni,Lewicz,1988-09-08,2022-08-07,,30719674686
Maurycy,Fit,1991-10-21,2022-03-06,2024-10-21,71678779163
Łukasz,Pęksa,1974-04-25,2023-07-12,,69378901476
Róża,Buchholz,1983-05-15,2020-03-11,,95371538920
Ksawery,Pochopień,1999-09-03,2022-06-06,,67564533707
Kornel,Świgoń,1985-03-05,2021-12-03,,41834770185
Dawid,Wojtalewicz,1990-08-31,2020-08-11,,55467324407
Tadeusz,Kurczak,1973-06-09,2021-03-24,,47172881510
Adrian,Nagórka,1988-02-09,2020-07-27,2020-10-02,96927789027
Alex,Ludwiniak,1982-10-08,2022-09-08,,82017405570
Nataniel,Borysiewicz,1999-12-07,2022-09-22,,75376973482
Ernest,Hrynkiewicz,1990-05-31,2022-01-25,,42060748507
Elżbieta,Aleksiejuk,1973-03-18,2020-07-23,,85876493623
Jan,Pianka,1991-05-21,2020-12-03,,11499408092
Olga,Plebanek,1975-09-10,2023-08-22,,19344336727
Piotr,Stypka,1991-11-03,2020-03-18,,39731568500
Malwina,Małycha,2000-03-23,2020-07-01,,30949828689
Kacper,Kozieja,1985-05-28,2021-10-06,,18842222723
Justyna,Misiuk,1994-03-14,2020-07-08,,72887130177
Leonard,Ferdyn,1972-11-26,2020-12-01,,94573917717
Bartek,Ziniewicz,1991-06-28,2023-02-06,,39962043243
Eliza,Leszczyk,1982-01-18,2022-05-11,,62713611541
Bianka,Mizak,1992-10-13,2023-07-23,,30191867619
Inga,Łudzik,2002-08-23,2023-02-26,,39097114557
Łukasz,Plona,1997-12-06,2022-01-16,,52644055816
Natasza,Łakota,1986-05-23,2022-05-26,,83284518933
Artur,Kurzyna,1966-08-19,2023-05-26,,53815672794
Marianna,Morgała,1991-12-26,2022-09-06,,10982441671
Kaja,Frelek,1991-09-02,2021-10-22,,47080412855
Leonard,Kiełek,1989-08-09,2021-10-06,,27629689846
Kajetan,Warych,1996-12-21,2022-02-20,,84353487413
Adrian,Gryta,1972-03-06,2023-10-12,2024-03-29,75338875114
Stanisław,Rymarz,1971-07-25,2022-03-23,,71590434695
Anna Maria,Gawliczek,1968-11-29,2023-12-20,,93958936150
Maksymilian,Klyta,1998-08-23,2023-12-19,,36620589029
Agnieszka,Sypek,1966-08-03,2022-09-03,,20546702581
Oskar,Choina,1984-02-04,2022-04-01,,96884914677
Aniela,Stoltmann,1970-02-17,2020-07-03,,73710638090
Filip,Olas,2001-06-04,2023-04-03,,21930720457
Maksymilian,Prażmo,1974-09-23,2020-03-09,,42221653742
Daniel,Rećko,1975-11-16,2022-04-06,2022-06-11,38807156834
Igor,Musiała,1977-05-01,2023-03-21,,92618596862
Kazimierz,Ogonek,1996-01-10,2020-05-22,,88627629474
Mikołaj,Krzyżostaniak,1993-11-21,2020-08-06,,21146780931
Mikołaj,Łuczka,1987-07-17,2023-12-25,,19902913217
Ignacy,Mętel,1993-07-13,2020-10-09,,18152076435
Gabriel,Bela,1988-06-05,2022-07-23,,90067897894
Tadeusz,Bubak,1977-11-08,2022-02-04,,85990632728
Gustaw,Szlufik,1979-07-07,2021-07-16,,69652136310
Krzysztof,Gawłowicz,1984-01-04,2021-02-13,,22619183306
Kornel,Kaźmierczyk,1970-06-10,2022-11-17,,85673717404
Eryk,Miąsko,1991-04-22,2023-05-25,,12388454991
Patryk,Sass,1992-12-10,2020-06-06,,10060284857
Szymon,Smętek,1979-04-08,2021-12-14,,10799841316
Marcelina,Zackiewicz,1970-11-25,2023-04-03,,72723537209
Apolonia,Święs,1972-09-19,2022-10-14,,79778923623
Adam,Buza,1966-10-17,2020-01-12,,38543603745
Stefan,Kręcichwost,1969-06-21,2021-11-16,,18998193880
Blanka,Linka,1977-10-16,2022-04-09,,91407863268
Mikołaj,Budniak,1977-04-15,2022-02-20,,92339632577
Olgierd,Pielach,1985-05-02,2022-10-25,,87323876961
Dagmara,Paw,1968-01-05,2023-07-24,,66713550091
