courseID,course_category,course_start_date,course_end_date,pesel
644171268,B,2020-01-22,2020-05-18,25080092276
817629580,B1,2020-01-10,2020-03-06,18979117762
472462919,AM,2020-01-26,2020-06-21,34008298867
238406036,B,2020-01-14,2020-02-23,28054615558
489535719,B,2020-01-11,2020-05-24,72081813418
459702792,C,2020-01-28,2020-03-28,62869640063
587068254,B,2020-01-04,2020-06-24,55051453531
474765635,B,2020-01-19,2020-05-26,97454842982
650667768,B,2020-01-04,2020-03-31,87559654275
627456591,A,2020-01-13,2020-05-05,73949928285
393061788,B,2020-01-29,2020-05-31,63168848547
831736518,B,2020-01-31,2020-04-25,91351643863
531366797,B,2020-01-09,2020-06-21,81944875948
814162052,B,2020-01-08,2020-02-27,40855240911
892962136,C,2020-01-10,2020-03-15,97879805018
457133940,C,2020-01-10,2020-05-28,63967534306
973241284,E,2020-01-14,2020-05-31,75318791870
584361234,C,2020-01-29,2020-03-08,68378712974
981976053,B,2020-01-18,2020-06-17,38772007847
757731067,B,2020-01-18,2020-05-05,65032982280
858213852,B,2020-01-18,2020-07-13,73786513334
531633224,A,2020-01-22,2020-07-19,16853073552
151158728,A,2020-01-10,2020-05-20,57379957797
606690518,A,2020-01-12,2020-03-05,50344033891
972981507,B,2020-01-28,2020-06-08,75828129005
611754399,C,2020-01-16,2020-03-04,78791977387
512382694,A,2020-01-08,2020-07-10,87275936948
414810918,E,2020-01-03,2020-04-08,50254241136
943199159,A,2020-01-21,2020-03-21,54910174469
345593647,A,2020-01-15,2020-03-06,33975336240
385196288,A,2020-01-10,2020-04-13,90671145647
752913998,A,2020-01-01,2020-02-28,97653096360
837622992,B,2020-01-12,2020-05-11,15151298746
303027389,B,2020-01-26,2020-04-29,45308440658
457214117,B,2020-01-09,2020-05-03,38025456499
580508834,B,2020-01-22,2020-03-15,33345721991
338271657,A,2020-01-23,2020-06-10,17110137010
754900294,B,2020-01-28,2020-06-23,23432411441
404418605,A,2020-01-20,2020-06-14,14855694912
536932398,E,2020-01-05,2020-02-06,98352704515
768985373,C,2020-01-11,2020-07-12,87547800593
812145673,C,2020-01-26,2020-06-15,69435763621
685293884,A,2020-01-03,2020-04-07,13693688327
441867612,B,2020-01-21,2020-03-17,51977888470
824617683,A,2020-01-18,2020-07-17,81752206820
859249361,B,2020-01-11,2020-05-11,14979580796
722144212,A,2020-01-30,2020-07-31,60866892808
730211915,C,2020-01-04,2020-06-29,57952685488
848736631,AM,2020-01-31,2020-03-15,59657025257
476958702,C,2020-01-16,2020-06-09,88641366709
664292812,E,2020-01-29,2020-03-05,31547315648
269248178,B,2020-01-01,2020-02-03,97282559120
784486894,C,2020-01-26,2020-04-26,66761877509
334661274,E,2020-01-16,2020-06-27,73720942735
535095431,C,2020-01-23,2020-07-09,47882901085
189371469,D,2020-01-31,2020-03-14,17819452264
325511390,A,2020-01-29,2020-07-12,23663533924
379524274,C,2020-01-21,2020-05-26,32502829222
319839338,B,2020-01-11,2020-02-10,43110964569
623979981,A,2020-01-19,2020-07-04,27427314486
965133254,D,2020-01-01,2020-05-04,84557302255
392438508,B,2020-01-17,2020-03-24,70864470414
997587587,D,2020-01-02,2020-05-21,11161430575
813301480,B,2020-01-22,2020-07-01,44166849930
120861634,B,2020-01-03,2020-04-17,96719603837
355200774,B,2020-01-08,2020-05-06,36537105599
