name,surname,pesel,date_of_birth
Anita,Złotek,25080092276,1991-05-17
Ewelina,Dziadkiewicz,18979117762,1988-01-20
Ksawery,Leszcz,34008298867,1987-03-01
Urszula,Makoś,28054615558,1974-11-25
Natasza,Mytych,72081813418,1970-07-12
Karina,Batóg,62869640063,2002-12-20
Kajetan,Juśkiewicz,55051453531,2000-07-24
Leonard,Dybiec,97454842982,1988-06-06
Dominik,Mulawa,87559654275,1994-04-27
Robert,Małas,73949928285,1972-01-21
Mieszko,Jasnoch,63168848547,1975-06-16
Krystian,Kulis,91351643863,1973-01-17
Dorota,Chromy,81944875948,1979-11-13
Kalina,Glanc,40855240911,1984-05-19
Bruno,Czupryn,97879805018,1987-08-05
Gaja,Bieszke,63967534306,1992-05-05
Nataniel,Lukas,75318791870,1993-05-03
Karol,Karnas,68378712974,1998-05-22
Angelika,Kurcz,38772007847,1978-02-07
Jan,Szymonik,65032982280,1971-04-08
Tadeusz,Szymała,73786513334,1995-12-06
Aniela,Lesner,16853073552,1994-03-08
Janina,Miszkiewicz,57379957797,1994-09-03
Elżbieta,Bok,50344033891,1984-06-02
Andrzej,Fyda,75828129005,1998-03-12
Eryk,Dziuda,78791977387,2001-08-24
Natasza,Bobryk,87275936948,1993-05-28
Jacek,Zach,50254241136,2002-10-12
Urszula,Kaźmierczyk,54910174469,1975-04-09
Kamila,Pupek,33975336240,1982-04-02
Igor,Ernst,90671145647,1993-02-21
Marcelina,Kolek,97653096360,1985-01-02
Urszula,Kala,15151298746,1981-09-11
Agnieszka,Ambrożewicz,45308440658,1989-06-26
Patryk,Łacina,38025456499,2002-12-10
Kornel,Macheta,33345721991,1973-12-29
Miłosz,Paździora,17110137010,1979-10-01
Sara,Łaszcz,23432411441,2001-04-24
Eryk,Kożuszek,14855694912,1999-08-17
Ignacy,Stróż,98352704515,2000-08-22
Mieszko,Kobel,87547800593,1982-07-05
Tymoteusz,Forma,69435763621,1970-02-18
Marcin,Wnuczek,13693688327,1999-12-15
Ksawery,Wlazły,51977888470,1995-10-24
Justyna,Dziedzina,81752206820,1974-08-15
Patryk,Piekarek,14979580796,1971-07-03
Inga,Oziębło,60866892808,2002-05-31
Krystyna,Behrendt,57952685488,1985-09-06
Olaf,Stożek,59657025257,1976-12-14
Natan,Dzienis,88641366709,1997-01-22
Gustaw,Broszkiewicz,31547315648,1995-04-20
Tola,Cholewka,97282559120,1970-11-11
Konstanty,Szkoda,66761877509,1971-01-29
Franciszek,Nocek,73720942735,1986-12-09
Wojciech,Nestorowicz,47882901085,1986-11-21
Nela,Chlebek,17819452264,1986-02-19
Igor,Dzieża,23663533924,1981-08-16
Dawid,Dziełak,32502829222,2000-11-20
Kacper,Przeniosło,43110964569,1981-07-12
Urszula,Miszkiewicz,27427314486,2002-02-15
Nikodem,Ludwisiak,84557302255,1981-04-22
Arkadiusz,Fik,70864470414,1989-11-18
Maciej,Pędrak,11161430575,1985-03-11
Adrianna,Rajczyk,44166849930,1978-09-15
Kalina,Furgała,96719603837,1976-06-18
Krystian,Miękina,36537105599,1995-12-10
Mieszko,Kazberuk,58107273951,1984-03-16
Cezary,Fogiel,59141311577,2000-10-01
Marek,Dubik,83412450770,1985-09-12
Andrzej,Koniec,72715453768,2003-10-26
Gustaw,Komisarek,67857024777,1986-06-11
Robert,Grund,72533289129,1984-06-09
Olgierd,Niksa,92029782101,1983-07-16
Angelika,Faryna,18959584430,1992-11-17
Ada,Kidawa,68662649313,1984-09-02
Krystian,Gomoła,25231531296,1987-12-22
Jerzy,Naumiuk,35803805809,1996-08-26
Kaja,Janka,96578176806,1984-04-08
Mateusz,Stranc,86634778149,1986-10-10
Natasza,Kamyk,53718032568,1991-09-20
Cezary,Tylka,61770985909,1990-09-15
Albert,Chlipała,56966453796,1972-01-17
Marcelina,Stanaszek,13041996535,1978-02-20
Róża,Potyrała,52566863650,1995-11-04
Wiktor,Penar,64041522939,1981-03-11
Ida,Rup,45275486418,2001-04-01
Tomasz,Kinal,56688577389,1984-06-27
Aleks,Szajner,94924864163,1986-09-08
Mateusz,Potęga,52725052402,2003-11-26
Jan,Miszkiewicz,12260114901,1994-04-03
Oskar,Szymków,98216373031,1974-07-24
Róża,Tofil,43042197055,2002-12-14
Piotr,Stein,49991577991,1993-11-03
Anita,Jerzyk,53776673445,2000-03-22
Dagmara,Musiała,98398884186,2003-01-28
Dariusz,Otremba,28680186557,2003-09-03
Marek,Łuckiewicz,14126454372,1993-11-12
Juliusz,Gierak,75199649028,1975-01-07
Leon,Kraszkiewicz,51912044116,2000-12-22
Rafał,Mielke,26037825495,1971-05-05
Adrian,Ciesiółka,36764375189,2001-06-12
Adrian,Majdan,60149979131,1984-04-23
Julian,Grochowina,95071457802,2001-04-27
Adam,Skwira,22708508456,1999-11-18
Karina,Groth,21508675959,1978-12-20
Bartek,Andrearczyk,28692001262,1979-09-14
Grzegorz,Szott,51917131651,1979-03-03
Mateusz,Bodek,30766836580,1983-04-28
Witold,Budrewicz,60747513025,1978-01-15
Anastazja,Haponiuk,85726375223,1985-04-10
Mikołaj,Wódka,73795243093,1974-12-04
Apolonia,Krężołek,18615135556,2000-07-29
Anna Maria,Ekert,66414621245,1973-05-12
Aleksander,Sadlak,42250646820,1978-01-04
Aniela,Poczta,90992030473,1997-07-20
Ewelina,Capiga,14736686770,1995-12-28
Adrian,Malara,54445525855,1974-01-30
Nela,Stwora,53553089894,1991-01-25
Marek,Armatys,29432459783,1979-05-03
Alex,Bejnarowicz,37476672662,1976-08-01
Sandra,Fydrych,96018634823,1973-10-28
Julian,Ryndak,23673126215,1992-11-08
Natasza,Zapiór,45206735951,1981-08-16
Nataniel,Tabisz,15693105609,1990-06-17
Marika,Mizia,93820437242,1977-03-05
Maurycy,Folga,12849503491,1980-02-09
Stanisław,Kroll,19845629982,2000-04-11
Julianna,Kasper,74094148849,1979-08-07
Eliza,Dobroń,96822476780,1973-07-02
Ewelina,Lepka,81507609969,1990-01-02
Norbert,Zagozda,12666101498,1993-08-19
Kajetan,Salawa,78298458395,1994-04-12
Norbert,Madura,61262609466,1970-05-11
Jakub,Lenc,68453486208,2001-08-18
Kaja,Bilewicz,62306953050,1977-09-03
Nicole,Martyn,74361885307,1996-04-06
Sara,Piórek,79060619849,1995-03-28
Maciej,Graboś,50655263561,1993-10-06
Kamila,Patoła,27876106417,1981-09-13
Inga,Ciesielka,36481684364,1981-03-04
Melania,Dyja,98668065312,1996-09-26
Tadeusz,Jarema,76860970542,1996-06-07
Lidia,Citko,86754829110,1980-09-22
Cyprian,Kurtyka,72017001542,1976-08-09
Monika,Moryc,65397071414,1977-08-30
Błażej,Żelasko,12624026350,2000-09-25
Kamil,Szabla,71928191225,1987-06-28
Błażej,Olszyna,12513587837,1992-05-13
Kamil,Moryc,89637893181,1974-11-12
Paweł,Dorobek,25813806876,2002-02-16
Aleksander,Kubanek,53469301385,1991-10-14
Józef,Czesak,67385588853,1998-01-05
Damian,Kostera,60555149918,1972-10-20
Radosław,Kabza,23537343907,1995-05-30
Nela,Juras,76830820475,1994-04-05
Dominik,Wałęsa,66060924396,1979-06-08
Bianka,Koss,43284654671,1973-06-18
Nataniel,Orkisz,30636732351,1981-12-17
Kalina,Kałek,75770294751,1985-04-24
Juliusz,Nestorowicz,69283138546,1995-06-21
Witold,Nojek,84207474237,1994-02-02
Tymon,Kołpak,41517696988,1998-07-27
Urszula,Dziuban,88065344535,1993-04-15
Elżbieta,Cogiel,81542606374,1990-08-10
Urszula,Szlęk,25030987325,1990-07-29
Radosław,Rasała,68667036720,1972-09-01
Robert,Muniak,20780155795,1980-03-22
Ewa,Halama,42107953169,1975-02-25
Filip,Idec,95643328094,1987-05-23
Tymon,Nazar,43733082218,1998-06-25
Kazimierz,Soczewka,83635296384,1989-05-18
Ryszard,Bazylewicz,71878080643,1981-05-29
Dorota,Jany,24127687180,1989-07-28
Łukasz,Zasępa,24523907126,1993-10-18
Ksawery,Tomaszuk,46955264980,1976-12-03
Ida,Mik,40301145666,2002-08-03
Józef,Watras,21731004079,1996-01-17
Ernest,Skrobot,23415831936,1978-10-30
Jakub,Owsiany,17375771884,1991-10-25
Kaja,Krasa,51102951657,2000-03-19
Patryk,Kalinka,78007428329,1995-09-24
Aleks,Zdziech,92446146384,1972-10-05
Adam,Halik,31599854171,1985-04-11
Andrzej,Wawrzeńczyk,93546979777,1989-07-03
Anita,Milczarczyk,92484334714,1973-04-30
Grzegorz,Molga,60991425794,1976-03-25
Krystian,Zieniewicz,72369720014,1970-09-27
Dariusz,Szeja,79895485965,1994-05-01
Fabian,Puch,52167960364,1994-07-27
Oliwier,Bancerz,89753650428,2002-08-19
Marcin,Koniecko,89636992815,1992-03-18
Fryderyk,Fuławka,89075737791,1988-06-04
Andrzej,Pęksa,88574547106,1985-08-15
Apolonia,Klekot,19343997481,1994-09-15
Iwo,Wojtak,78336830873,1979-08-01
Anastazja,Łukasz,59524073160,2002-10-08
Maciej,Gałat,15101569114,1975-07-05
Patryk,Kolendo,30229849636,2002-11-08
Ada,Rembacz,17877969230,1986-03-29
Marcelina,Słonka,20633873736,1980-09-09
Róża,Franc,79381275677,1983-06-30
Aurelia,Żymełka,40455440724,1971-05-30
Dominik,Fedorczyk,10077804567,2000-06-03
Dawid,Jarosiewicz,59333449241,1984-10-09
Bartek,Handke,67940681738,1978-11-06
Kajetan,Bryndza,94281298977,2003-11-09
Maks,Cyrek,59462509246,1983-05-27
Sandra,Ścibisz,76769031102,1983-06-21
Fabian,Irzyk,87225042323,1995-08-30
Tomasz,Skowyra,25044573331,1976-05-05
Julian,Kuchciak,56625247953,2002-07-23
Jacek,Smykała,63711092791,1991-03-05
Maks,Wielgo,83601506573,1990-08-15
Eryk,Łyś,18682436340,1989-03-16
Tobiasz,Bełz,81530707016,1992-03-09
Józef,Bender,61814957534,1984-10-23
Lidia,Szaruga,16223207648,1989-02-05
Nicole,Damek,46525904579,1989-11-20
Adrianna,Miętus,69753277195,1976-05-12
Arkadiusz,Jamroz,16559490100,1982-12-28
Marek,Hermanowicz,81488771501,1981-11-25
Sebastian,Kurtyka,10183099217,1998-05-03
Agnieszka,Zmyślony,19943124648,1973-06-23
Natan,Hankiewicz,73824420689,1973-10-03
Ada,Kazek,23637846109,2002-09-05
Tymon,Baka,34342532797,1988-07-19
Ewa,Breguła,63627449105,1989-05-16
Maurycy,Kansy,32805216451,1985-11-28
Witold,Kandzia,35481873065,2000-07-12
Antoni,Cierpka,70600428799,2002-12-08
Patryk,Księżyk,89491432231,1997-05-03
Adrianna,Mszyca,73780802329,1975-09-20
Sandra,Gospodarek,81789233662,1974-12-04
Maksymilian,Turlej,94035946285,1974-05-31
Dagmara,Skałka,34067135328,1983-03-19
Krystyna,Pazik,71575356355,1997-01-14
Albert,Smal,83139703915,1987-03-22
Melania,Rajman,34115425203,1977-01-11
Sandra,Gal,16118250939,1994-01-28
Emil,Wielgo,99197431992,2001-05-27
Aurelia,Wąsek,68078958745,1984-10-03
Norbert,Sznura,22148164451,1989-12-27
Agnieszka,Sadlak,64125411884,1972-03-05
Andrzej,Łepek,29489575261,1973-08-29
Adrianna,Palak,28773533981,1971-09-14
Agnieszka,Smal,37625765282,1977-05-29
Kalina,Niemczuk,12847852748,1995-11-15
Kamil,Drózd,72662718975,2000-08-05
Justyna,Bachanek,83728101898,1994-01-03
Patryk,Warchał,79599442896,2000-08-02
Apolonia,Kawula,66899970008,1989-10-06
Radosław,Proch,77192416913,1984-10-05
Tobiasz,Ciuba,13220034573,1971-10-09
Maciej,Czosnyka,99476324600,1981-06-27
Patryk,Głuszko,23702536865,1987-09-13
Konrad,Mateńko,43213123237,1972-08-28
Rozalia,Śledzik,23352479268,1970-07-28
Dawid,Kasica,51209849344,1971-10-26
Tymon,Boguta,79901739464,1979-06-09
Szymon,Jędraszczyk,46956501660,2003-03-29
Kornel,Smyl,80886487453,1993-02-28
Marika,Mojsa,34888267578,2003-03-16
Nataniel,Kidawa,25033563042,1977-08-20
Hubert,Krzykała,13037814533,1976-06-19
Witold,Flieger,65397892070,1980-01-01
Franciszek,Pasich,49438994097,1989-08-28
Adrianna,Koronkiewicz,99739715100,1996-05-04
Olga,Prygiel,63565869398,2002-03-03
Janina,Cofała,12806883860,2000-12-26
Aniela,Hałka,69975939594,1990-06-05
Róża,Heczko,64572145471,1995-05-01
Dagmara,Kieca,10666582009,1974-06-14
Leon,Balawender,49783939111,1971-03-13
Gaja,Ropiak,94063887430,1973-03-08
Konstanty,Glica,51685473826,1991-02-26
Adam,Miszta,84822169833,1998-02-12
Albert,Parus,45805377920,1986-11-10
Daniel,Malcherek,71184405671,1997-05-09
Kalina,Bienia,45324924272,1999-09-02
Anastazja,Sobolak,92985573507,1985-07-15
Michał,Mrozowicz,20268288497,1970-02-21
Liwia,Thiel,30833850185,1983-12-26
Konrad,Osial,60955485406,1990-07-31
Oliwier,Jakimiak,43652294741,1996-03-15
Tadeusz,Lejman,56607198557,1994-04-19
Cezary,Mszyca,18990437912,1975-03-28
Urszula,Kamieniarz,83279866551,1997-07-07
Eryk,Wężyk,97405858988,1983-07-28
Kaja,Miszta,51405971815,1978-09-18
Karol,Żuchowicz,58842833500,1978-12-06
Witold,Brach,11949296039,1988-07-25
Apolonia,Gumienna,99677806340,1992-03-12
Maciej,Uliczka,29879802264,1985-05-18
Dominik,Folga,55649010492,1973-01-28
Michał,Boguś,66162158493,1986-07-01
Kamila,Ceynowa,47716461662,1993-05-04
Kaja,Rzeźniczak,68035901164,1994-11-03
Ada,Aleksandrzak,56026276395,1977-09-09
Emil,Osik,35806371403,2001-09-26
Piotr,Minta,83132491661,1988-06-13
Krystian,Rubacha,46851123352,1994-11-01
Daniel,Bluszcz,40338878832,1985-12-07
Janina,Szymków,92188208547,2000-04-22
Szymon,Kapera,71723689625,1987-12-13
Jerzy,Zimmer,93048056447,1984-12-04
Iwo,Manista,70122768312,1982-02-14
Kamila,Porzucek,50817481640,1984-10-25
Karol,Trzmiel,13855829463,2001-03-15
Leonard,Kastelik,34270943940,1989-08-01
Kornelia,Kopczyk,31485592175,1972-07-04
Hubert,Ziemak,69890251101,1992-03-17
Angelika,Fornalik,59198570109,1978-07-27
Kaja,Pudełek,10876391352,1974-07-24
Urszula,Jas,29502356802,1980-05-29
Melania,Galon,41171870089,1995-01-10
Jeremi,Czerepak,15270127307,1986-12-14
Arkadiusz,Gumuła,57666310859,1990-07-22
Kornel,Galek,40675542579,1982-01-13
Kazimierz,Warzybok,27144231735,1987-07-03
Aniela,Indyka,14233058063,1986-08-29
Ewa,Matulewicz,82627104944,1998-10-23
Dawid,Prochownik,63076918742,1980-02-05
Ksawery,Wesoła,28952232514,1998-12-29
Stefan,Kossak,26556035397,1978-06-07
Apolonia,Buszta,27679149270,1988-01-27
Bianka,Łuszczyk,56266877241,1988-04-08
Jeremi,Gerlach,30793893974,2003-12-22
Rafał,Dziuban,48219813929,1973-05-24
Oskar,Zaguła,93710479156,1987-07-05
Natasza,Para,56359845050,1973-06-04
Olgierd,Mućka,69406251019,1982-04-07
Marika,Miąsik,45290140648,1978-04-05
Marcelina,Komsta,68948740677,1999-08-27
Kalina,Kowalówka,43850912435,1977-03-29
Angelika,Miszta,26771206821,1985-05-20
Tymon,Gadzała,41660932030,1979-05-31
Przemysław,Helak,44476959352,2002-02-06
